employee,date,arrival_time,departure_time
Isaac,2024-08-12,08:17,17:38
Mia,2024-08-14,08:33,17:40
Quentin,2024-08-22,09:35,19:23
Alice,2024-08-07,10:04,20:00
Liam,2024-08-11,08:03,17:48
George,2024-08-09,09:10,18:04
Hannah,2024-08-08,09:28,17:10
Alice,2024-08-01,09:08,16:47
Julia,2024-08-01,09:10,18:34
Emma,2024-08-24,09:38,18:26
Nora,2024-08-26,10:19,18:12
Isaac,2024-08-12,09:50,19:02
David,2024-08-04,10:58,18:33
George,2024-08-22,08:50,18:43
Fiona,2024-08-20,08:16,18:08
Hannah,2024-08-15,08:25,17:41
Oliver,2024-08-02,10:32,19:42
David,2024-08-19,09:23,18:05
Kevin,2024-08-03,09:00,17:46
Kevin,2024-08-15,08:08,17:06
Kevin,2024-08-15,10:15,19:11
Paula,2024-08-10,09:39,18:40
Quentin,2024-08-31,09:07,18:56
Hannah,2024-08-25,08:25,18:18
Emma,2024-08-28,10:39,17:42
Mia,2024-08-19,08:24,15:37
Oliver,2024-08-11,09:12,16:52
Fiona,2024-08-03,10:50,20:02
Steve,2024-08-28,10:32,17:35
Quentin,2024-08-26,08:36,17:01
David,2024-08-27,10:40,19:23
Bob,2024-08-13,10:38,17:44
Isaac,2024-08-23,09:16,17:55
Kevin,2024-08-28,08:41,16:52
Liam,2024-08-27,09:33,16:51
Emma,2024-08-08,09:36,17:20
Rachel,2024-08-21,10:50,18:52
Quentin,2024-08-22,10:50,19:05
Liam,2024-08-13,10:18,17:19
Alice,2024-08-05,09:52,18:05
Alice,2024-08-15,09:10,16:32
Paula,2024-08-25,10:32,18:21
Nora,2024-08-14,08:25,17:26
Steve,2024-08-21,08:24,15:57
George,2024-08-25,09:39,19:13
Emma,2024-08-06,08:02,15:58
Bob,2024-08-28,09:18,16:21
Nora,2024-08-21,09:07,18:22
Charlie,2024-08-20,10:43,19:51
Kevin,2024-08-11,10:17,18:13
David,2024-08-18,08:32,15:35
Quentin,2024-08-04,08:42,15:42
Tina,2024-08-11,08:28,18:00
David,2024-08-13,10:29,18:31
Bob,2024-08-23,08:53,17:18
Emma,2024-08-10,09:09,18:50
Nora,2024-08-12,09:11,17:44
Kevin,2024-08-31,08:11,17:46
Hannah,2024-08-02,08:47,16:04
Rachel,2024-08-04,08:20,16:06
Nora,2024-08-11,09:22,17:52
Kevin,2024-08-01,08:35,15:38
Alice,2024-08-01,10:23,18:20
Quentin,2024-08-01,09:07,17:17
Mia,2024-08-20,08:06,17:02
Quentin,2024-08-22,10:38,18:29
Charlie,2024-08-22,08:04,17:24
Paula,2024-08-14,10:46,18:46
Tina,2024-08-12,08:48,15:51
Paula,2024-08-18,08:46,18:17
Quentin,2024-08-30,08:00,17:50
Isaac,2024-08-06,10:17,19:23
Isaac,2024-08-20,09:32,16:46
Fiona,2024-08-07,09:47,18:48
Isaac,2024-08-29,10:58,18:49
Bob,2024-08-25,10:05,20:03
Hannah,2024-08-30,09:07,18:20
Hannah,2024-08-29,10:41,20:23
Emma,2024-08-28,09:40,18:28
Isaac,2024-08-03,10:48,18:05
Paula,2024-08-24,08:06,16:57
Quentin,2024-08-06,10:33,18:47
Isaac,2024-08-02,10:16,19:58
Nora,2024-08-05,10:31,18:19
Charlie,2024-08-10,10:13,20:07
Charlie,2024-08-30,08:34,17:45
Hannah,2024-08-10,09:47,17:20
Kevin,2024-08-01,09:35,18:50
Alice,2024-08-06,09:41,18:18
Hannah,2024-08-19,08:02,16:12
Julia,2024-08-27,09:45,17:07
Quentin,2024-08-03,10:40,18:29
Paula,2024-08-08,10:45,18:36
Steve,2024-08-15,10:13,19:23
Fiona,2024-08-21,10:37,19:28
Isaac,2024-08-04,08:15,15:46
Steve,2024-08-10,09:39,18:48
George,2024-08-26,10:03,19:20
Tina,2024-08-18,10:58,20:03
David,2024-08-23,09:15,17:16
Hannah,2024-08-08,09:37,18:03
Charlie,2024-08-23,08:41,16:48
Tina,2024-08-15,09:10,17:56
Bob,2024-08-01,09:06,16:25
Rachel,2024-08-13,09:15,16:21
Steve,2024-08-08,10:50,20:40
Julia,2024-08-07,08:28,16:55
Emma,2024-08-17,09:07,19:02
Isaac,2024-08-26,08:59,18:35
Paula,2024-08-15,08:54,16:37
Liam,2024-08-20,08:00,17:39
Oliver,2024-08-10,09:17,17:47
Paula,2024-08-03,08:38,17:45
Hannah,2024-08-24,09:51,17:56
Mia,2024-08-13,10:34,17:43
Alice,2024-08-15,10:40,19:46
Mia,2024-08-20,10:21,19:43
Isaac,2024-08-13,10:50,20:18
Julia,2024-08-12,09:54,17:02
Rachel,2024-08-27,10:01,18:07
Tina,2024-08-20,10:40,19:26
Emma,2024-08-11,09:41,17:53
Nora,2024-08-27,10:21,20:18
Nora,2024-08-02,08:45,16:39
Oliver,2024-08-04,10:58,20:40
Tina,2024-08-21,10:04,17:42
Alice,2024-08-09,10:55,18:22
Nora,2024-08-26,10:32,18:16
Tina,2024-08-20,08:23,15:32
Emma,2024-08-09,10:41,17:49
Emma,2024-08-18,10:06,19:11
Quentin,2024-08-01,10:50,19:47
George,2024-08-09,10:32,18:09
Steve,2024-08-22,10:50,19:27
Mia,2024-08-27,10:52,19:44
Julia,2024-08-19,09:18,18:32
Hannah,2024-08-07,10:45,19:52
David,2024-08-04,09:53,18:57
George,2024-08-03,09:54,17:48
Julia,2024-08-20,10:55,20:36
Fiona,2024-08-11,09:29,17:29
Alice,2024-08-24,08:00,15:50
Bob,2024-08-14,10:36,19:00
Emma,2024-08-18,08:02,15:50
George,2024-08-09,10:22,20:10
Charlie,2024-08-09,10:21,19:44
George,2024-08-10,09:47,17:47
Rachel,2024-08-16,10:44,19:57
Fiona,2024-08-01,08:49,17:56
Isaac,2024-08-20,09:22,17:55
David,2024-08-10,09:50,18:02
Paula,2024-08-22,08:31,15:34
George,2024-08-20,10:24,18:43
Bob,2024-08-09,08:30,16:16
Kevin,2024-08-08,08:22,16:10
Mia,2024-08-08,10:23,18:23
Nora,2024-08-02,08:02,17:19
Isaac,2024-08-07,10:17,18:30
Tina,2024-08-18,09:12,17:10
Steve,2024-08-27,10:59,18:00
Nora,2024-08-01,10:00,17:43
George,2024-08-02,10:07,19:52
Liam,2024-08-21,09:12,18:43
Alice,2024-08-02,08:33,16:49
Paula,2024-08-12,08:10,16:04
Nora,2024-08-26,09:52,18:49
Liam,2024-08-07,10:21,18:34
Charlie,2024-08-03,08:07,15:42
Rachel,2024-08-08,08:12,16:36
Quentin,2024-08-16,09:31,17:32
Oliver,2024-08-12,09:41,19:29
Charlie,2024-08-14,09:38,17:02
Kevin,2024-08-11,09:58,19:41
Mia,2024-08-16,08:40,18:20
Alice,2024-08-27,08:20,17:40
Rachel,2024-08-16,10:59,19:58
Alice,2024-08-31,10:05,18:16
George,2024-08-26,10:56,18:18
Quentin,2024-08-06,08:11,15:53
Nora,2024-08-26,10:35,19:36
Mia,2024-08-19,09:18,19:11
Kevin,2024-08-28,08:15,17:51
Charlie,2024-08-02,10:40,19:05
Hannah,2024-08-23,09:05,17:26
Kevin,2024-08-09,08:59,17:09
Kevin,2024-08-27,10:57,18:06
David,2024-08-12,10:35,19:11
Rachel,2024-08-27,10:17,18:46
Isaac,2024-08-26,09:22,19:02
Mia,2024-08-13,08:16,16:43
Steve,2024-08-21,09:34,19:29
Nora,2024-08-22,10:29,20:05
Rachel,2024-08-10,08:00,17:10
Paula,2024-08-18,08:30,16:20
David,2024-08-11,10:07,19:50
Fiona,2024-08-05,10:42,20:33
Charlie,2024-08-14,10:24,17:50
Liam,2024-08-15,08:28,15:46
George,2024-08-23,08:15,15:23
Bob,2024-08-08,09:45,18:18
David,2024-08-03,10:50,19:18
Liam,2024-08-15,10:16,18:15
David,2024-08-14,10:00,17:50
Bob,2024-08-07,08:13,17:02
Liam,2024-08-03,08:39,18:13
Paula,2024-08-03,09:11,18:42
Rachel,2024-08-22,09:50,19:33
Mia,2024-08-19,09:52,19:07
Steve,2024-08-01,10:43,18:13
Paula,2024-08-03,10:15,19:09
Alice,2024-08-24,10:11,18:04
Charlie,2024-08-10,09:06,16:25
Tina,2024-08-12,09:53,17:46
Rachel,2024-08-06,08:28,15:53
David,2024-08-29,08:36,15:46
Liam,2024-08-06,08:04,17:40
Kevin,2024-08-06,10:58,19:54
Mia,2024-08-15,09:15,16:22
Emma,2024-08-02,10:55,18:34
Isaac,2024-08-06,09:57,19:33
Liam,2024-08-22,09:53,18:22
Isaac,2024-08-04,08:14,17:50
Oliver,2024-08-04,10:20,19:25
Hannah,2024-08-24,08:56,18:48
Oliver,2024-08-30,09:36,16:47
Hannah,2024-08-05,09:49,19:34
George,2024-08-18,09:16,18:34
Rachel,2024-08-13,10:44,20:09
Alice,2024-08-13,10:55,18:58
Emma,2024-08-20,10:30,19:25
Emma,2024-08-30,10:02,19:38
Kevin,2024-08-21,08:29,18:27
Alice,2024-08-02,09:24,17:37
Steve,2024-08-19,08:16,15:41
Oliver,2024-08-21,10:29,17:46
Mia,2024-08-14,09:08,16:43
Quentin,2024-08-09,08:28,16:31
Charlie,2024-08-01,09:03,17:55
Fiona,2024-08-20,10:32,18:02
Paula,2024-08-12,09:12,18:49
Kevin,2024-08-08,08:53,17:51
Isaac,2024-08-20,08:06,17:29
Alice,2024-08-27,08:29,16:42
Quentin,2024-08-09,10:35,19:21
Julia,2024-08-12,10:47,20:46
Paula,2024-08-19,08:24,17:29
Isaac,2024-08-01,08:57,17:58
Liam,2024-08-15,10:57,19:59
Hannah,2024-08-11,09:49,17:01
Hannah,2024-08-15,08:43,16:55
Kevin,2024-08-24,10:04,17:32
Alice,2024-08-11,10:30,20:20
Oliver,2024-08-16,08:21,17:21
Nora,2024-08-13,08:36,18:08
David,2024-08-07,08:29,15:38
